title,popularity,vote_count,mdb_id,vote_average,release_date,genre
Space Kid,0.6,0,533030,0.0,2000-03-24,sci-fi
Smash and Grab,5.118,37,532952,6.9,2019-01-18,sci-fi
Reflections in the Dust,1.4,0,532787,0.0,2019-03-07,sci-fi
CTRL,4.373,3,532657,4.0,2018-08-25,sci-fi
The Peter Weyland Files: TED 2023,1.541,8,532347,7.0,2012-02-28,sci-fi
Peak Phosphorus,0.631,1,532234,10.0,2016-05-15,sci-fi
7 Splinters in Time,2.906,8,532163,5.3,2018-07-13,sci-fi
Snow the Snow Wite Film,0.6,0,531598,0.0,2016-11-01,sci-fi
Land of Barry: The Thing What Came from Outer Space,0.6,0,531412,0.0,2018-11-16,sci-fi
Rim of the World,10.341,468,531306,5.6,2019-05-24,sci-fi
Visage,0.6,0,531209,0.0,2017-10-14,sci-fi
Triassic World,4.149,6,531208,5.2,2018-06-19,sci-fi
Stop/Eject/Rewind,0.6,0,531140,0.0,2019-03-01,sci-fi
In the Shadow of the Moon,15.412,555,530382,6.2,2019-09-27,sci-fi
Hacked,0.6,0,530381,0.0,2018-03-03,sci-fi
Zone Out,0.6,0,530293,0.0,2018-06-11,sci-fi
Neil,0.6,0,530141,0.0,2017-01-01,sci-fi
Substance,0.6,0,530113,0.0,2014-01-01,sci-fi
The Prevailing Winds,0.904,0,530009,0.0,2016-10-01,sci-fi
The Clockwork Heart,0.6809999999999999,0,529720,0.0,2017-01-01,sci-fi
The Astronot,0.6,2,529704,8.0,2018-05-18,sci-fi
Solis,7.529,54,529646,5.0,2018-06-27,sci-fi
Encounter,4.541,3,529483,3.7,2019-10-01,sci-fi
Manifest: The Chryzinium Era,0.638,1,529470,4.0,2017-09-26,sci-fi
Bodysnatch,2.572,1,529446,4.0,2018-06-12,sci-fi
Ugh!,0.6,0,529383,0.0,2018-04-18,sci-fi
Alien Code,5.401,16,529358,5.3,2017-04-23,sci-fi
Assimilate,12.493,62,528985,5.5,2019-05-24,sci-fi
Echoes in the Ice,0.971,2,528748,7.0,2017-05-22,sci-fi
Daisy Belle,0.9420000000000001,2,528230,7.5,2018-04-08,sci-fi
Earth to Isaac,0.892,1,528227,7.0,2017-06-03,sci-fi
Red Citrus,6.882999999999999,0,528118,0.0,2020-05-29,sci-fi
Dandelion,0.6,1,528042,7.0,2017-09-14,sci-fi
Anunnaki,2.079,1,527952,9.0,2018-04-10,sci-fi
BioMass,0.6,1,527831,7.0,2017-10-26,sci-fi
Nova,0.6,0,527829,0.0,2018-02-08,sci-fi
Echo and Solomon,0.857,0,527821,0.0,2017-07-02,sci-fi
Children of the Cosmos,0.6,1,527819,6.0,2017-09-09,sci-fi
Karen's Room,0.6,0,527718,0.0,2013-10-26,sci-fi
Star Wars: Rey’s Origin Story,2.164,0,527314,0.0,2017-11-30,sci-fi
Star Wars: Master of Shadow,0.6,0,527300,0.0,2015-01-01,sci-fi
Morbius,6.537000000000001,0,526896,0.0,2021-03-19,sci-fi
Night Zero,2.855,5,526510,5.6,2018-05-22,sci-fi
Astro,6.11,10,526475,4.7,2018-06-08,sci-fi
Tank,0.6,0,526262,0.0,2018-05-23,sci-fi
Kill Mode,7.921,5,526120,4.8,2019-09-05,sci-fi
Becoming,7.971,0,526052,0.0,2020-04-16,sci-fi
Make Me Up,1.386,0,525932,0.0,2018-10-12,sci-fi
Prodigy,1.9609999999999999,2,525821,2.5,2018-12-19,sci-fi
Speed of Life,5.4,1,525798,5.0,2020-01-10,sci-fi
Offloading for Mrs. Schwartz,0.6,0,525720,0.0,2011-01-10,sci-fi
Hard Reset,0.6,2,525222,5.3,2016-01-01,sci-fi
Telepathy,0.6,0,525205,0.0,2015-01-01,sci-fi
Horses on Mars,0.628,0,525204,0.0,2001-03-23,sci-fi
The Stowaway,0.6,0,525202,0.0,2014-01-01,sci-fi
Capsules,0.6,0,525201,0.0,2017-08-15,sci-fi
Gateway,0.6,2,525196,5.5,2011-01-01,sci-fi
"Empathy, Inc.",1.09,5,524786,5.4,2018-06-24,sci-fi
Beyond the Cosmos,0.6,2,524616,5.5,2017-12-15,sci-fi
Eternals,8.466000000000001,0,524434,0.0,2021-02-11,sci-fi
Into The Alternate,0.624,0,524176,0.0,2018-11-15,sci-fi
Greenland,9.894,0,524047,0.0,2020-06-12,sci-fi
Alien Inhabitant,0.6,0,523920,0.0,2011-01-01,sci-fi
The Aliens,1.66,1,523910,7.0,2018-04-17,sci-fi
The Last Sharknado: It's About Time,9.776,84,523849,4.2,2018-08-23,sci-fi
The Giraffe Who Knew Too Much,0.6,0,523800,0.0,2013-05-04,sci-fi
Extraterrestrial,1.5830000000000002,1,523719,4.0,2005-11-30,sci-fi
ARLO: THE ASSASSIN,0.6,0,523372,0.0,2015-12-25,sci-fi
Incoming,6.606,36,522964,4.1,2018-05-04,sci-fi
Hover,6.1129999999999995,12,522882,4.9,2018-06-30,sci-fi
Fatal Future,0.6,0,522570,0.0,2018-05-28,sci-fi
The Colour Out of Space,1.758,6,522565,5.0,2017-08-18,sci-fi
ZOR,0.6,1,522559,5.0,2017-07-16,sci-fi
6-Headed Shark Attack,5.2970000000000015,20,522438,4.8,2018-08-18,sci-fi
Mech: Human Trials,0.632,1,522430,5.0,2014-06-04,sci-fi
Red Pearl,0.6,0,522428,0.0,2015-11-13,sci-fi
BIOS,5.546,0,522402,0.0,2020-10-02,sci-fi
Game Station,0.6,0,522174,0.0,2018-02-10,sci-fi
Mega Time Squad,2.458,21,521936,6.3,2018-07-20,sci-fi
G.,0.6,0,521721,0.0,2010-04-01,sci-fi
Transformers: Titans Return,2.331,4,521494,6.0,2017-11-14,sci-fi
Plugin,0.6,1,521475,9.0,2014-04-30,sci-fi
Grasshopper Jungle,0.6,1,521467,8.0,2017-07-07,sci-fi
Exit,0.6,0,521377,0.0,2018-04-27,sci-fi
E.T.A.,0.6,0,521373,0.0,2008-10-27,sci-fi
Dysmorphia,0.6,1,521340,6.0,2018-01-28,sci-fi
River of Time,0.6,0,521324,0.0,2016-11-20,sci-fi
Traveler,0.63,1,521323,5.0,2015-12-05,sci-fi
Blood and Steel,0.6,1,521320,10.0,2015-06-01,sci-fi
Hope,0.6,1,521317,7.0,2016-03-07,sci-fi
CTRL Z,0.6,0,521236,0.0,2017-02-17,sci-fi
300 000 KILOMÈTRES / SECONDE,0.6,0,521235,0.0,2013-01-01,sci-fi
Doom: Annihilation,14.148,132,520901,4.3,2019-09-30,sci-fi
Mad World,3.534,0,520788,0.0,2018-01-02,sci-fi
A Quiet Place Part II,14.759,0,520763,0.0,2020-09-03,sci-fi
Lake Placid: Legacy,13.455,56,520466,4.5,2018-05-28,sci-fi
This Is Andromeda,0.6,1,520205,5.0,2016-01-01,sci-fi
Resignation,0.6,1,520192,6.0,2016-04-20,sci-fi
Valis,0.6,1,520182,7.0,2018-01-01,sci-fi
Close Encounters of the Inbred Redneck Kind,0.6,0,520171,0.0,2012-01-01,sci-fi
Prism,0.6,0,520085,0.0,2011-07-01,sci-fi
Agent Killer: Origins,0.6,0,519911,0.0,2014-01-10,sci-fi
The Activists,0.6,0,519797,0.0,2014-01-01,sci-fi
The Long Way Home,0.6,0,519796,0.0,2018-01-01,sci-fi
Human,0.965,2,519791,2.5,2017-04-18,sci-fi
Diminuendo,1.659,1,519719,6.0,2018-04-20,sci-fi
Hollywood Warrioress: The Movie,0.835,0,519647,0.0,2016-05-17,sci-fi
Three Worlds,2.031,4,519584,7.3,2018-04-21,sci-fi
Third Kind,0.758,4,519407,5.0,2018-05-20,sci-fi
The Machine,2.484,0,519336,0.0,2017-01-06,sci-fi
Time Will Tell,0.9420000000000001,1,519071,4.0,2017-11-10,sci-fi
The Pod,0.846,0,518494,0.0,2013-04-16,sci-fi
Miriam Is Going to Mars,0.6,0,518475,0.0,2017-05-01,sci-fi
7 Planets,1.4,0,518469,0.0,2018-04-19,sci-fi
Fight or Die,0.6,0,518379,0.0,2009-01-01,sci-fi
Bride of Frankie,1.006,1,518237,6.0,2017-06-16,sci-fi
The Mind Is a Liar and a Whore,0.6,0,517794,0.0,2007-01-01,sci-fi
The Snipist,0.9640000000000001,2,517770,9.0,2012-05-24,sci-fi
Fast Forward - Time Travel 20 Years,0.6,0,517632,0.0,2017-01-01,sci-fi
Dirty Computer,3.8160000000000003,20,517582,8.1,2018-04-23,sci-fi
The Order of the Orchid,0.6,0,517482,0.0,2017-12-06,sci-fi
The Face,0.6,0,517293,0.0,2008-04-19,sci-fi
The Toxic Avenger: The Musical,4.388999999999999,3,517289,6.7,2018-04-07,sci-fi
Under Stars,0.6,0,517067,0.0,2018-01-01,sci-fi
Reflection,0.6,0,517029,0.0,2018-03-29,sci-fi
What if Wendy,0.61,0,516701,0.0,2017-11-30,sci-fi
Miles,0.6579999999999999,2,516693,2.5,2015-01-10,sci-fi
Hyperlight,1.368,12,516570,6.1,2018-04-03,sci-fi
Flashout,6.353,3,516495,6.0,2019-03-22,sci-fi
Gray Matter,3.5,9,516237,5.3,2018-05-18,sci-fi
The Crystal Crypt,0.6,3,515996,5.3,2013-12-05,sci-fi
Anna & the Asteroid,0.6,0,515959,0.0,2017-09-24,sci-fi
Montauk,0.6,0,515906,0.0,2011-09-21,sci-fi
Bloggers,0.6,0,515770,0.0,2017-05-17,sci-fi
Bibleman: Breaking The Bonds of Disobedience,1.88,3,515208,10.0,2001-01-01,sci-fi
Run Away with Me,0.6,2,514971,10.0,2015-04-25,sci-fi
Milky's Immortality,1.173,0,514818,0.0,2017-06-29,sci-fi
Be My Guest,0.6,0,514790,0.0,2018-05-02,sci-fi
Crossbreed,6.853,4,514755,5.3,2019-02-05,sci-fi
Other News,0.6,0,514706,0.0,2017-12-02,sci-fi
Global Meltdown,5.426,22,514690,5.3,2017-07-06,sci-fi
White Chamber,5.007,23,514547,4.7,2018-04-05,sci-fi
Invasion Ireland,0.6,0,514396,0.0,2013-02-01,sci-fi
The Nanny,7.79,31,513857,4.2,2018-05-01,sci-fi
The Ricochet Splendid,0.6,0,513820,0.0,2018-02-21,sci-fi
iRony,0.6,0,513746,0.0,2017-07-25,sci-fi
Altered Hours,1.922,7,513662,5.6,2016-11-12,sci-fi
While You Were in a Coma,0.6,0,513660,0.0,2015-03-10,sci-fi
Bodies,0.6,0,513508,0.0,2017-10-31,sci-fi
Tiger,0.6,0,513375,0.0,2017-06-25,sci-fi
The Tangle,2.379,0,513326,0.0,2019-05-17,sci-fi
Higher Power,9.307,52,513324,5.0,2018-05-11,sci-fi
Boss Level,6.501,0,513310,0.0,2020-12-31,sci-fi
Nothing Really Happens,1.945,3,513295,7.0,2017-06-26,sci-fi
Muse,0.755,1,513288,4.0,2015-02-27,sci-fi
Oracle,0.6,0,513281,0.0,2017-11-04,sci-fi
Der Pilot,0.6,0,512324,0.0,2000-04-01,sci-fi
Transfinite,2.597,0,512217,0.0,2019-06-01,sci-fi
Exit Strategy,2.017,5,512119,8.3,2018-04-13,sci-fi
Jesus H. Zombie,0.6,0,512105,0.0,2006-08-08,sci-fi
Birds in the Trap,0.606,0,511865,0.0,2017-06-12,sci-fi
Galaktikon: Nightmare,0.6,0,511030,0.0,2018-02-21,sci-fi
Souls of Totality,1.409,6,510806,7.1,2018-02-05,sci-fi
Cake,0.638,1,510464,4.0,2017-09-29,sci-fi
King Krule: Live on the Moon,0.6,0,510299,0.0,2018-03-08,sci-fi
The Weapon,0.6,0,509982,0.0,2000-04-29,sci-fi
The Matwix,1.4,2,509944,10.0,2001-09-10,sci-fi
Every-Man,0.6679999999999999,0,509795,0.0,2004-05-01,sci-fi
The Lotus,3.014,10,509624,5.5,2018-03-06,sci-fi
Imminent Danger!,0.6,0,509531,0.0,2011-01-01,sci-fi
A Date in 2025,1.256,1,509335,7.0,2017-05-03,sci-fi
LEGO Marvel Super Heroes - Guardians of the Galaxy: The Thanos Threat,3.726,9,509080,5.4,2017-12-09,sci-fi
Void Vision,0.6,0,509041,0.0,2018-03-03,sci-fi
Involution,2.246,2,509020,3.0,2018-02-26,sci-fi
Vampariah,1.28,2,508817,3.0,2016-02-01,sci-fi
Battle Drone,5.537000000000001,25,508648,5.5,2018-03-01,sci-fi
Alchemy,0.6,0,508627,0.0,2016-02-25,sci-fi
Kirk Cameron's Connect,0.6,1,508613,5.0,2018-02-27,sci-fi
Supernatural Events,0.6,0,508155,0.0,2017-10-10,sci-fi
The Divorce,0.6,0,508131,0.0,2013-06-09,sci-fi
Sweet Water,0.6,1,507980,5.0,2016-09-26,sci-fi
Caronte,0.6,1,507955,6.0,2017-10-08,sci-fi
Damn! The Threnody In Me!,0.6,0,507931,0.0,2005-01-01,sci-fi
Mickey Reece's Alien,0.6,0,507838,0.0,2017-06-09,sci-fi
Sea Fever,37.282,10,507441,6.3,2019-09-05,sci-fi
Legendary Reality,0.624,0,507260,0.0,2018-11-09,sci-fi
The Escape,0.625,1,507259,10.0,2013-01-23,sci-fi
Chimera Strain,4.1,9,507220,5.0,2018-02-24,sci-fi
"Me, My Phone & I",0.6,0,507122,0.0,2018-02-05,sci-fi
In Circles,0.688,1,506923,6.0,2017-05-02,sci-fi
Loophole,7.71,3,506902,4.7,2019-01-08,sci-fi
Breaking Barbi,6.6610000000000005,4,506826,2.0,2019-02-15,sci-fi
Nekrotronic,8.174,35,506775,6.1,2018-10-01,sci-fi
Moon Rock City,1.226,0,506732,0.0,2017-08-21,sci-fi
Midwife,0.6,1,506541,5.0,2016-11-06,sci-fi
Prospect,11.422,243,506072,6.0,2018-10-02,sci-fi
I Am Mother,15.253,1244,505948,6.6,2019-06-07,sci-fi
A.I. Rising,13.345,90,505914,4.5,2018-02-25,sci-fi
Star Trek III: Redemption,0.6,0,505868,0.0,2013-01-01,sci-fi
Star Trek II: Retribution,0.6,0,505867,0.0,2012-01-01,sci-fi
Star Trek I: Specter of the Past,0.6,0,505863,0.0,2010-10-02,sci-fi
Heads of Control: The Gorul Baheu Brain Expedition,0.634,0,505812,0.0,2006-10-01,sci-fi
Black Panther II,7.067,0,505642,0.0,2022-05-05,sci-fi
Devil Wears a Suit,0.6,0,505327,0.0,2017-06-19,sci-fi
Worlds Apart,0.604,0,505294,0.0,2017-02-15,sci-fi
Life After Flash,3.405,8,505247,6.3,2017-10-02,sci-fi
Await Further Instructions,8.142000000000001,107,505063,5.2,2018-08-26,sci-fi
Lego DC Comics Super Heroes: The Flash,10.532,58,504997,6.8,2018-02-13,sci-fi
The Jurassic Games,6.843999999999999,64,504982,4.2,2018-05-21,sci-fi
Mission Pakal to Mars,0.6,1,504906,5.0,2016-03-07,sci-fi
Surviving the Outbreak,0.6,1,504693,6.0,2017-04-13,sci-fi
Ready Jet Go! Back to Bortron 7,2.221,0,504613,0.0,2017-08-14,sci-fi
Little Joe,4.188,28,504585,6.0,2019-11-13,sci-fi
Psycho Bettys from Planet Pussycat,0.6,1,504450,8.0,2011-01-01,sci-fi
Killing Diaz,1.725,0,504414,0.0,2018-02-16,sci-fi
Patient 001,0.926,0,504129,0.0,2018-02-14,sci-fi
The Invisible Man,2.735,3,503658,5.0,2017-12-12,sci-fi
Gathering of Heroes: Legend of the Seven Swords,2.185,0,503601,0.0,2018-01-02,sci-fi
Apocalypse Rising,4.9460000000000015,4,503579,5.3,2018-06-12,sci-fi
Project Aether,0.845,0,503416,0.0,2011-04-10,sci-fi
FTL,2.514,7,503401,6.0,2017-05-12,sci-fi
Occupation,7.774,91,503346,4.4,2018-07-12,sci-fi
South Mill District,0.623,0,503030,0.0,2018-02-23,sci-fi
Absolute Access,1.4,0,502997,0.0,2018-12-08,sci-fi
Inside,0.6,1,502942,9.0,2016-05-23,sci-fi
Solace,0.6,0,502442,0.0,2017-02-01,sci-fi
Quinn Thomas,0.6,0,502236,0.0,2017-10-23,sci-fi
Aghora: The Deadliest Blackmagic,1.4,0,502185,0.0,2018-03-01,sci-fi
Eternalism,0.6,0,502026,0.0,2013-02-26,sci-fi
Bill & Ted Face the Music,4.694,0,501979,0.0,2020-08-20,sci-fi
Depraved,3.635,4,501977,5.5,2019-09-13,sci-fi
Connected,8.256,0,501929,0.0,2020-09-10,sci-fi
Collapse,0.6,0,501911,0.0,2015-09-01,sci-fi
Gifted,0.629,1,501767,7.0,2015-07-26,sci-fi
Galaxy Lords,3.536,2,501622,6.0,2018-02-24,sci-fi
Calliope,0.6,1,501530,7.0,2017-01-01,sci-fi
GiAnts,0.669,1,501389,1.0,2007-01-01,sci-fi
Motherboard,0.6,0,501169,0.0,2016-10-19,sci-fi
Spacelift: Transporting Trek Into the 21st Century,0.6,1,501118,5.0,2011-01-01,sci-fi
Brown Girl Begins,1.8559999999999999,0,501098,0.0,2018-08-17,sci-fi
Contra-Internet: Jubilee 2033,0.6,0,500993,0.0,2018-02-17,sci-fi
After Her,0.743,1,500944,5.0,2018-12-01,sci-fi
The Sweetening,0.6,1,500937,8.0,2016-04-01,sci-fi
Between Worlds,6.452000000000001,52,500921,4.1,2018-12-21,sci-fi
The Right Choice,0.688,0,500482,0.0,2018-01-20,sci-fi
Super Ninja Squad Inazuma!! SPARK,0.6,0,499627,0.0,2007-07-01,sci-fi
Captured,0.6,0,499582,0.0,2013-07-31,sci-fi
Dimensions: The Dark Voyage,0.6559999999999999,0,499539,0.0,2019-06-07,sci-fi
The Misty Green Sky,0.6,0,499441,0.0,2016-01-18,sci-fi
Mosquito: A Fistful of Bitcoins,1.216,1,499437,7.0,2015-01-01,sci-fi
2101,2.919,8,499273,3.0,2014-02-23,sci-fi
Star Trek: Tik Tok,1.4269999999999998,1,499203,6.0,2010-04-17,sci-fi
Harmony,5.154,10,499170,7.6,2018-10-04,sci-fi
Super Ninja Squad Inazuma!,0.6,0,499166,0.0,2006-06-01,sci-fi
Last Moments,0.934,2,499147,6.0,2018-03-28,sci-fi
Intransit,0.904,1,498770,6.0,2017-01-01,sci-fi
Destined,0.615,0,498757,0.0,2017-06-16,sci-fi
Sol 87,0.911,0,498740,0.0,2017-04-27,sci-fi
A Single Yesterday,1.845,0,498514,0.0,2019-01-11,sci-fi
The Replacement,0.6,1,498492,6.0,2018-10-18,sci-fi
Flash Happy Society,0.6,0,498473,0.0,2009-10-19,sci-fi
Trending,0.879,0,498461,0.0,2018-08-30,sci-fi
Max Steel: Endangered Species,2.086,3,498437,6.3,2004-01-05,sci-fi
Leviathan Ages,0.6,0,498385,0.0,2014-10-09,sci-fi
The Woo,0.6,0,498261,0.0,2016-08-16,sci-fi
The Specimen,0.6,0,498223,0.0,2015-01-19,sci-fi
Sprouting Orchids,1.618,0,498012,0.0,2014-01-31,sci-fi
Wastelander,1.787,6,497985,4.0,2018-02-02,sci-fi
Earthy Encounters,1.284,0,497868,0.0,2018-04-22,sci-fi
Conlanging: The Art of Crafting Tongues,0.865,0,497531,0.0,2017-08-24,sci-fi
Battalion,4.7360000000000015,14,497328,3.3,2018-01-09,sci-fi
BALLiSTIC,1.237,7,497256,6.7,2018-06-27,sci-fi
Deadly Signal,1.078,2,496985,3.0,2016-10-07,sci-fi
Tremors: A Cold Day in Hell,13.799000000000001,152,496704,5.6,2018-05-01,sci-fi
Maggots,0.64,1,496490,1.0,2017-12-01,sci-fi
Home,0.6,4,496256,4.8,2017-04-30,sci-fi
2070 Paradigm Shift,0.747,2,496238,10.0,2013-08-06,sci-fi
Twisted Pair,1.9369999999999998,13,495507,5.4,2018-10-03,sci-fi
Doctor Who: Twice Upon a Time,10.712,68,495151,8.4,2017-12-25,sci-fi
"Beam Me Up, Sasha !",0.6,0,495051,0.0,2014-05-10,sci-fi
Post Human: An Event,2.119,1,495015,3.0,2017-10-17,sci-fi
Bijuli Machine,0.6,1,494723,10.0,2016-12-02,sci-fi
Cell,0.622,0,494535,0.0,2018-10-13,sci-fi
SENTiNEL,0.6,6,494240,5.8,2017-12-21,sci-fi
Donny The Drone,1.07,3,493931,4.3,2017-12-20,sci-fi
Division 19,2.762,2,493838,5.0,2017-02-24,sci-fi
Spark,0.6,0,493694,0.0,2015-07-17,sci-fi
Eruption: LA,3.554,11,493686,5.2,2018-01-06,sci-fi
Micronauts,1.814,0,493530,0.0,2021-06-04,sci-fi
Xenobites,0.6,1,493462,6.0,2008-08-29,sci-fi
Sensei Tumbleweed,0.6,0,493452,0.0,2016-10-23,sci-fi
Artemis,2.5610000000000004,0,493063,0.0,2021-12-31,sci-fi
Damascus,0.6,1,492875,5.0,2017-08-19,sci-fi
Return of the Jeni,0.6,0,492759,0.0,2010-06-06,sci-fi
The Manual,1.347,10,492631,6.7,2017-12-02,sci-fi
Area 57,0.6,0,492545,0.0,2007-01-01,sci-fi
The Frozen Inferno,0.6,1,492536,7.0,2000-04-21,sci-fi
Chimera,0.6,2,492509,5.0,2003-03-21,sci-fi
Deep Blue Sea 2,22.209,226,492336,4.5,2018-04-17,sci-fi
Fan-O-Rama,0.8959999999999999,0,492018,0.0,2016-12-22,sci-fi
Foxtrot Six,15.880999999999998,6,491854,5.6,2019-02-21,sci-fi
Rae,0.6,1,491700,5.0,2016-12-04,sci-fi
Brian and Charles,0.612,0,491696,0.0,2018-03-10,sci-fi
Recoil,0.6,0,491695,0.0,2014-12-06,sci-fi
Marvel Rising: Secret Warriors,6.0870000000000015,26,491633,6.1,2018-09-30,sci-fi
Germs,0.6,0,491548,0.0,2013-01-01,sci-fi
Vimana,0.6,0,491320,0.0,2014-07-21,sci-fi
Children Of Ether,1.36,0,491123,0.0,2017-11-29,sci-fi
The Silver Rope,0.823,1,491057,10.0,2006-11-25,sci-fi
The Mandela Effect,6.693,21,491037,6.2,2019-12-06,sci-fi
Flashburn,1.962,4,491020,4.5,2017-12-05,sci-fi
The Idol,0.679,1,490870,10.0,2017-06-06,sci-fi
Axiomatic,0.6,0,490624,0.0,2017-10-02,sci-fi
R.U.R. Genesis,0.6,0,490372,0.0,2013-09-13,sci-fi
Slave Girls on the Moon,0.627,1,490313,4.0,2014-06-21,sci-fi
Fallout: Nuka Break,0.7659999999999999,5,490193,6.6,2011-01-24,sci-fi
DreamWorks Home: For the Holidays,2.485,7,490156,3.9,2017-12-01,sci-fi
Prenatal,0.6,1,490125,7.0,2016-06-01,sci-fi
Adam: Episode 3 — The Prophet,1.8619999999999999,4,490087,6.3,2017-11-30,sci-fi
Grey Agenda,1.994,1,489740,1.0,2017-08-25,sci-fi
The Boogeys,0.6,1,489523,6.0,2017-07-16,sci-fi
Team P.R.O.O.F.,0.6,0,489460,0.0,2017-08-06,sci-fi
Cured,1.156,0,489288,0.0,2016-04-10,sci-fi
Burgerplex,0.6,0,489203,0.0,2015-08-03,sci-fi
Sound from the Deep,0.6,1,489055,8.0,2017-10-07,sci-fi
O segredo dos adultos,0.6,1,488877,1.0,2014-08-11,sci-fi
Slaughterbots,0.716,3,488589,8.0,2017-11-17,sci-fi
Leave Us Alone,0.6,3,488581,6.0,2013-10-11,sci-fi
Night Surf,1.547,1,488444,5.0,2002-10-31,sci-fi
See You Yesterday,1.58,4,488145,8.0,2017-05-31,sci-fi
Reign of the Supermen,13.39,233,487672,6.9,2019-01-13,sci-fi
The Death of Superman,14.02,348,487670,7.4,2018-07-03,sci-fi
Sightings,3.387,5,487638,5.4,2017-10-21,sci-fi
Kill Order,4.932,22,487620,5.3,2017-11-06,sci-fi
F.R.E.D.I.,3.505,12,487509,6.2,2018-05-03,sci-fi
A Wish for Giants,2.5340000000000003,6,487283,9.3,2018-02-17,sci-fi
Suicide Squad: Hell to Pay,12.731,202,487242,6.8,2018-05-09,sci-fi
HH,0.6,0,487198,0.0,2017-11-15,sci-fi
Halo: Nightfall,3.023,20,487186,4.9,2014-02-05,sci-fi
A Witches' Ball,3.087,13,487047,5.8,2017-05-06,sci-fi
Icarus,1.186,1,486954,5.0,2016-04-22,sci-fi
Rewind,1.148,0,486867,0.0,2017-11-11,sci-fi
The Auditor,0.6,0,486473,0.0,2016-07-14,sci-fi
Wyrm,1.022,1,486387,9.0,2017-02-15,sci-fi
Ares 11,1.931,1,486297,6.0,2016-08-15,sci-fi
Ratpocalypse,2.189,2,486164,4.0,2015-09-21,sci-fi
Pendulum,0.6,1,486151,6.0,2017-06-11,sci-fi
Hell on Earth,0.609,0,486004,0.0,2017-10-31,sci-fi
Overwatch Animated Short: Honor and Glory,2.131,24,485070,8.3,2017-11-03,sci-fi
Praetoria: Part One,0.6,5,485016,4.2,2017-11-03,sci-fi
Singularity,12.31,100,484886,3.6,2017-11-24,sci-fi
krotoplaxx diary disc 1.1,0.6,0,484395,0.0,2017-10-31,sci-fi
Phantasmagoria: A Puzzle of Flesh,1.2,1,484354,0.0,2017-10-30,sci-fi
Make/Real,0.6,0,484160,0.0,2010-06-08,sci-fi
Can't Take It Back,3.895,8,483571,3.3,2017-10-26,sci-fi
Operator,0.6559999999999999,2,483303,7.0,2013-11-19,sci-fi
Aliens: Zone of Silence,3.264,10,483006,4.8,2017-10-24,sci-fi
Cough,0.664,0,482917,0.0,2013-08-17,sci-fi
Nobility,1.015,2,482911,2.0,2017-06-27,sci-fi
Doomsday Device,6.2139999999999995,6,482750,5.0,2017-02-19,sci-fi
The Woman in the Movie,1.1079999999999999,0,482660,0.0,2017-10-01,sci-fi
Ron's Gone Wrong,1.814,0,482321,0.0,2021-02-26,sci-fi
Thugs vs. Dinosaurs,0.643,1,482246,3.0,2017-06-24,sci-fi
Riot Girls,5.272,8,482034,5.3,2019-09-13,sci-fi
Nimona,3.1639999999999997,0,481992,0.0,2022-01-14,sci-fi
Creature from the Lake,0.6,0,481877,0.0,2020-01-22,sci-fi
Living Among Us,4.896,3,481849,5.8,2019-11-14,sci-fi
The Control,0.6559999999999999,0,481781,0.0,2017-12-31,sci-fi
Seam,0.797,2,481755,6.0,2019-03-23,sci-fi
Others Will Follow,0.6,1,481608,8.0,2017-10-16,sci-fi
Alien: Covenant – Epilogue: Advent,1.05,4,480913,6.5,2017-05-19,sci-fi
Neverknock,7.8889999999999985,30,480405,4.6,2017-10-15,sci-fi
Experiment 7,0.6,2,480304,4.0,2009-10-10,sci-fi
Demon with the Atomic Brain,0.907,1,479796,5.0,2017-10-05,sci-fi
Shockwave Countdown To Disaster,7.581,16,479753,5.1,2017-09-02,sci-fi
TARBOZ,0.6,0,479674,0.0,2015-11-26,sci-fi
Elliot,0.6,0,479574,0.0,2017-10-05,sci-fi
Geo-Disaster,6.43,31,479475,3.6,2017-10-03,sci-fi
Adam: Episode 2 — The Mirror,1.124,4,479469,5.8,2017-10-03,sci-fi
The Garden,0.672,2,479378,6.5,2016-10-29,sci-fi
Defective,4.955,10,479093,5.6,2017-10-17,sci-fi
Blood Boy,0.6,0,478813,0.0,2014-01-01,sci-fi
Zombie City,0.6,0,478811,0.0,2017-09-01,sci-fi
Psycho Space Demons,0.6,0,478810,0.0,2003-01-01,sci-fi
Remain,0.6,1,478557,1.5,2016-12-17,sci-fi
A Crimson Man,1.459,3,478538,8.0,2017-10-18,sci-fi
Beyond The Sky,7.702000000000001,29,478528,5.1,2018-09-21,sci-fi
Grace,0.6,0,477671,0.0,2012-09-10,sci-fi
The Broken Key,2.781,17,477278,3.7,2017-11-16,sci-fi
The Titan,11.552,760,476926,5.4,2018-03-30,sci-fi
Contamination,0.6,0,476874,0.0,2004-02-21,sci-fi
The Chronicles of Polyaris,0.6,1,476725,4.0,2014-09-29,sci-fi
The Astronaut,0.608,0,476509,0.0,2017-09-19,sci-fi
Love at the End of Earth,0.6,0,476112,0.0,2017-08-19,sci-fi
Tergo,0.607,0,476092,0.0,2017-07-10,sci-fi
The 2nd Law,0.6,2,476022,2.5,2016-09-08,sci-fi
The Danger Element,1.399,2,476020,4.0,2017-08-01,sci-fi
Curvature,5.3210000000000015,24,475961,4.8,2017-11-15,sci-fi
Blade Runner: Black Out 2022,10.071,190,475946,7.4,2017-09-26,sci-fi
