title,popularity,vote_count,mdb_id,vote_average,release_date,genre
X-Men Origins: Wolverine,3.089,7270,2080,6.2,2009-04-28,sci-fi
G.I. Joe: Retaliation,28.261999999999997,4166,72559,5.5,2013-03-26,sci-fi
Terminator Salvation,31.006999999999998,4296,534,6.0,2009-05-20,sci-fi
Captain America: The First Avenger,28.070999999999998,14541,1771,6.9,2011-07-22,sci-fi
Edge of Tomorrow,37.861999999999995,9157,137113,7.6,2014-05-27,sci-fi
Home,22.916,2687,228161,6.8,2015-03-18,sci-fi
Jurassic Park III,1.561,4415,331,6.0,2001-07-18,sci-fi
Planet of the Apes,25.631,2496,869,5.7,2001-07-25,sci-fi
Minority Report,25.252,5326,180,7.3,2002-06-20,sci-fi
Journey 2: The Mysterious Island,20.414,2540,72545,6.0,2012-01-19,sci-fi
X-Men: First Class,1.439,9140,49538,7.3,2011-06-01,sci-fi
The Maze Runner,52.063,11827,198663,7.1,2014-09-10,sci-fi
"I, Robot",41.90600000000001,7923,2048,6.9,2004-07-15,sci-fi
Star Trek Beyond,25.011,4707,188927,6.7,2016-07-07,sci-fi
A Quiet Place,38.091,7649,447332,7.3,2018-04-03,sci-fi
Fantastic Four,29.84,6401,9738,5.7,2005-06-29,sci-fi
Megamind,26.279,4242,38055,6.8,2010-10-28,sci-fi
The Meg,41.31,3703,345940,5.9,2018-08-09,sci-fi
Maze Runner: The Scorch Trials,30.54300000000001,7089,294254,6.7,2015-09-09,sci-fi
Resident Evil: The Final Chapter,1.036,1804,173897,6.0,2016-12-23,sci-fi
Passengers,18.28,9077,274870,6.9,2016-12-21,sci-fi
Battleship,26.605,3645,44833,5.7,2012-04-11,sci-fi
G.I. Joe: The Rise of Cobra,43.84,3167,14869,5.7,2009-08-04,sci-fi
Resident Evil: Afterlife,0.8590000000000001,2416,35791,6.0,2010-09-09,sci-fi
Real Steel,25.32800000000001,5201,39254,6.8,2011-09-28,sci-fi
Austin Powers in Goldmember,27.955,1993,818,5.9,2002-07-26,sci-fi
X-Men,1.652,7733,36657,7.0,2000-07-13,sci-fi
Insurgent,40.056,7495,262500,6.3,2015-03-18,sci-fi
Pacific Rim: Uprising,25.068,2758,268896,5.9,2018-03-21,sci-fi
Divergent,27.239,9249,157350,6.9,2014-03-14,sci-fi
Oblivion,29.804,7619,75612,6.5,2013-04-10,sci-fi
Elysium,22.593000000000004,6039,68724,6.4,2013-08-07,sci-fi
Maze Runner: The Death Cure,32.31,4652,336843,7.0,2018-01-10,sci-fi
John Carter,23.82800000000001,3756,49529,6.2,2012-03-07,sci-fi
Sonic the Hedgehog,266.911,2549,454626,7.5,2020-02-12,sci-fi
Robots,23.77,2937,9928,6.3,2005-03-10,sci-fi
Super 8,19.775,4493,37686,6.7,2011-06-08,sci-fi
Blade Runner 2049,47.44300000000001,7989,335984,7.4,2017-10-04,sci-fi
Men in Black: International,32.516999999999996,2347,479455,5.9,2019-06-12,sci-fi
Glass,47.333999999999996,4878,450465,6.6,2019-01-16,sci-fi
Teenage Mutant Ninja Turtles: Out of the Shadows,21.604,2098,308531,5.9,2016-06-01,sci-fi
Hulk,26.17,3693,1927,5.4,2003-06-19,sci-fi
Dark Phoenix,49.40600000000001,3204,320288,6.0,2019-06-05,sci-fi
After Earth,19.471,4677,82700,5.1,2013-05-30,sci-fi
Pixels,33.369,5010,257344,5.6,2015-07-16,sci-fi
RoboCop,25.06,3805,97020,5.8,2014-01-30,sci-fi
Assassin's Creed,15.91,5547,121856,5.4,2016-12-21,sci-fi
Resident Evil: Retribution,1.933,2601,71679,5.7,2012-09-12,sci-fi
A.I. Artificial Intelligence,26.805999999999997,4016,644,7.0,2001-06-29,sci-fi
Terminator: Dark Fate,55.556000000000004,1980,290859,6.4,2019-10-23,sci-fi
The Day the Earth Stood Still,25.109,2021,10200,5.4,2008-12-10,sci-fi
Alien: Covenant,37.92,5587,126889,5.9,2017-05-09,sci-fi
Valerian and the City of a Thousand Planets,60.67100000000001,4880,339964,6.6,2017-07-20,sci-fi
Jumper,18.134,3645,8247,6.0,2008-02-13,sci-fi
Geostorm,28.029,2721,274855,5.8,2017-10-13,sci-fi
Green Lantern,19.642,4887,44912,5.1,2011-06-16,sci-fi
District 9,23.301,6170,17654,7.4,2009-08-05,sci-fi
Tomorrowland,35.746,5136,158852,6.2,2015-05-19,sci-fi
Vanilla Sky,19.26,2348,1903,6.8,2001-12-10,sci-fi
Arrival,36.084,11913,329865,7.5,2016-11-10,sci-fi
Battle: Los Angeles,17.164,2290,44943,5.6,2011-03-08,sci-fi
Total Recall,26.076,3875,64635,5.9,2012-08-02,sci-fi
